provincia,cantidad
LOS RÍOS,156
AZUAY,3570
MANABÍ,173
LOJA,74
PICHINCHA,311
COTOPAXI,123
EL ORO,324
CHIMBORAZO,145
CAÑAR,325
ZAMORA CHINCHIPE,13
TUNGURAHUA,279
SANTA ELENA,10
GUAYAS,97
IMBABURA,73
MORONA SANTIAGO,38
SANTO DOMINGO DE LOS TSÁCHILAS,107
ESMERALDAS,142
BOLÍVAR,390
ORELLANA,1
CARCHI,324
NAPO,6
PASTAZA,6
SUCUMBÍOS,4
GALÁPAGOS,1
