marca,cantidad
CHEVROLET,416
HONDA,10
YAMAHA,6
MAZDA,74
DAEWOO,18
HYUNDAI,67
TOYOTA,166
ISUZU,5
NISSAN,126
FORD,12
LADA,5
MITSUBISHI,35
SUZUKI,99
JEEP,2
FIAT,7
DATSUN,3
KIA,10
SUBARU,1
SKODA,1
Otras Marcas,2
DAIHATSU,3
RENAULT,11
VOLKSWAGEN,9
PEUGEOT,5
SHINERAY,2
